iter	Passed	Remaining
0	50	5025
1	51	2526
2	52	1685
3	52	1261
4	53	1010
5	53	843
6	54	727
7	55	639
8	56	568
9	56	510
10	57	465
11	58	426
12	58	393
13	59	366
14	60	342
15	61	321
16	61	302
17	62	286
18	63	271
19	64	257
20	65	245
21	66	234
22	68	229
23	69	219
24	69	209
25	70	201
26	71	192
27	72	185
28	72	177
29	73	171
30	74	164
31	74	158
32	75	152
33	75	147
34	76	141
35	76	136
36	77	131
37	77	127
38	78	122
39	79	118
40	79	114
41	79	110
42	80	106
43	80	102
44	81	99
45	82	96
46	82	93
47	83	90
48	84	88
49	85	85
50	85	82
51	86	79
52	86	76
53	87	74
54	87	71
55	88	69
56	88	67
57	89	64
58	90	62
59	90	60
60	91	58
61	92	56
62	92	54
63	93	52
64	93	50
65	94	48
66	95	46
67	95	44
68	96	43
69	96	41
70	97	39
71	97	37
72	98	36
73	98	34
74	99	33
75	99	31
76	100	30
77	101	28
78	101	26
79	102	25
80	102	24
81	103	22
82	103	21
83	104	19
84	104	18
85	105	17
86	106	15
87	106	14
88	107	13
89	107	11
90	108	10
91	109	9
92	109	8
93	110	7
94	110	5
95	111	4
96	111	3
97	112	2
98	113	1
99	113	0
