iter	Passed	Remaining
0	55	55553
1	56	27968
2	56	18764
3	56	14176
4	57	11428
5	57	9592
6	58	8281
7	58	7291
8	59	6525
9	59	5914
10	60	5414
11	60	4993
12	61	4641
13	61	4337
14	62	4077
15	62	3849
16	63	3644
17	63	3461
18	63	3300
19	64	3154
20	64	3023
21	65	2902
22	65	2792
23	66	2693
24	66	2601
25	67	2519
26	67	2443
27	68	2369
28	68	2299
29	69	2233
30	69	2175
31	70	2118
32	70	2067
33	71	2018
34	71	1972
35	71	1926
36	72	1883
37	72	1843
38	73	1805
39	73	1769
40	74	1734
41	74	1701
42	75	1671
43	75	1641
44	76	1613
45	76	1586
46	76	1559
47	77	1535
48	77	1511
49	78	1489
50	78	1467
51	79	1447
52	79	1428
53	80	1408
54	80	1389
55	81	1369
56	81	1352
57	82	1335
58	82	1318
59	83	1303
60	83	1287
61	84	1271
62	84	1256
63	84	1241
64	85	1227
65	85	1214
66	86	1200
67	86	1187
68	87	1175
69	87	1162
70	87	1150
71	88	1139
72	88	1127
73	89	1117
74	89	1107
75	90	1096
76	90	1086
77	91	1076
78	91	1067
79	92	1061
80	92	1053
81	93	1045
82	93	1034
83	94	1026
84	94	1018
85	95	1010
86	95	1002
87	95	994
88	96	986
89	96	979
90	97	972
91	97	964
92	98	958
93	98	951
94	99	945
95	99	938
96	100	932
97	100	926
98	101	919
99	101	913
100	101	906
101	102	901
102	102	895
103	103	889
104	103	884
105	104	880
106	104	875
107	105	870
108	105	865
109	106	861
110	107	857
111	107	855
112	108	851
113	108	846
114	109	842
115	109	837
116	110	832
117	110	828
118	111	825
119	112	821
120	112	817
121	112	812
122	113	808
123	113	804
124	114	800
125	114	796
126	115	791
127	115	787
128	116	784
129	116	780
130	117	777
131	117	774
132	118	770
133	118	766
134	119	763
135	119	759
136	120	756
137	120	752
138	120	749
139	121	746
140	121	743
141	122	738
142	122	735
143	123	731
144	123	728
145	124	725
146	124	722
147	125	719
148	125	717
149	126	714
150	126	711
151	127	709
152	127	706
153	127	702
154	128	699
155	128	696
156	129	693
157	129	690
158	130	688
159	130	685
160	130	681
161	131	679
162	131	676
163	132	674
164	132	671
165	133	669
166	133	667
167	134	664
168	134	661
169	134	659
170	135	656
171	135	653
172	136	650
173	136	647
174	136	644
175	137	642
176	137	639
177	137	636
178	138	634
179	138	631
180	138	628
181	139	626
182	139	623
183	140	621
184	140	619
185	140	616
186	141	614
187	141	611
188	142	609
189	142	607
190	142	604
191	143	602
192	143	599
193	143	597
194	145	599
195	145	597
196	145	595
197	146	592
198	146	590
199	147	588
200	147	586
201	147	584
202	148	581
203	148	579
204	148	577
205	149	575
206	149	573
207	150	571
208	150	569
209	150	567
210	151	565
211	151	563
212	152	562
213	152	560
214	153	558
215	153	557
216	154	556
217	154	555
218	155	554
219	156	553
220	156	552
221	157	552
222	158	551
223	158	549
224	159	547
225	159	545
226	159	544
227	160	542
228	160	541
229	161	539
230	161	537
231	161	536
232	162	534
233	162	532
234	163	531
235	163	529
236	164	528
237	164	526
238	164	524
239	165	523
240	165	521
241	166	520
242	166	519
243	167	517
244	167	516
245	168	515
246	168	513
247	168	512
248	169	511
249	169	509
250	170	508
251	170	507
252	171	505
253	171	504
254	172	503
255	172	502
256	173	501
257	173	499
258	174	498
259	174	497
260	175	495
261	175	494
262	175	492
263	176	491
264	176	490
